File,Success,Orig_Vol,Crop_Vol,VRR,Rej_Max,Rej_99p,Rej_95p,Reg_Type,Sampling_Rate,Time_sec,Speedup,Ref_Drift_mm,Stability_Err_mm
DCE_0070.nii.gz,True,"(512, 512, 29, 5)","(512, 323, 29, 5)",0.3691,283948.66,217598.3,206668.7,Rigid,0.01,3.675,17.3,16.89,3.653
DCE_0070.nii.gz,True,"(512, 512, 29, 5)","(512, 323, 29, 5)",0.3691,283948.66,217598.3,206668.7,Rigid,0.05,6.888,9.3,16.89,0.202
DCE_0070.nii.gz,True,"(512, 512, 29, 5)","(512, 323, 29, 5)",0.3691,283948.66,217598.3,206668.7,Rigid,0.1,13.5,4.7,16.89,0.729
DCE_0070.nii.gz,True,"(512, 512, 29, 5)","(512, 323, 29, 5)",0.3691,283948.66,217598.3,206668.7,BSpline,0.01,6.01,69.1,0.0,0.002
DCE_0070.nii.gz,True,"(512, 512, 29, 5)","(512, 323, 29, 5)",0.3691,283948.66,217598.3,206668.7,BSpline,0.05,43.351,9.6,0.0,0.0
DCE_0070.nii.gz,True,"(512, 512, 29, 5)","(512, 323, 29, 5)",0.3691,283948.66,217598.3,206668.7,BSpline,0.1,84.733,4.9,0.0,0.0
DCE_0170.nii.gz,True,"(512, 512, 29, 5)","(512, 288, 29, 5)",0.4375,981917.25,160095.2,117403.15,Rigid,0.01,2.773,24.3,0.74,0.041
DCE_0170.nii.gz,True,"(512, 512, 29, 5)","(512, 288, 29, 5)",0.4375,981917.25,160095.2,117403.15,Rigid,0.05,7.426,9.1,0.74,0.024
DCE_0170.nii.gz,True,"(512, 512, 29, 5)","(512, 288, 29, 5)",0.4375,981917.25,160095.2,117403.15,Rigid,0.1,13.549,5.0,0.74,0.015
DCE_0170.nii.gz,True,"(512, 512, 29, 5)","(512, 288, 29, 5)",0.4375,981917.25,160095.2,117403.15,BSpline,0.01,10.1,41.1,0.01,0.001
DCE_0170.nii.gz,True,"(512, 512, 29, 5)","(512, 288, 29, 5)",0.4375,981917.25,160095.2,117403.15,BSpline,0.05,44.097,9.4,0.01,0.0
DCE_0170.nii.gz,True,"(512, 512, 29, 5)","(512, 288, 29, 5)",0.4375,981917.25,160095.2,117403.15,BSpline,0.1,82.3,5.0,0.01,0.0
DCE_0270.nii.gz,True,"(512, 512, 29, 5)","(512, 295, 29, 5)",0.4238,6681471.5,2585390.25,1639515.75,Rigid,0.01,2.829,14.7,28.43,0.029
DCE_0270.nii.gz,True,"(512, 512, 29, 5)","(512, 295, 29, 5)",0.4238,6681471.5,2585390.25,1639515.75,Rigid,0.05,6.378,6.5,28.43,0.598
DCE_0270.nii.gz,True,"(512, 512, 29, 5)","(512, 295, 29, 5)",0.4238,6681471.5,2585390.25,1639515.75,Rigid,0.1,11.324,3.7,28.43,0.017
DCE_0270.nii.gz,True,"(512, 512, 29, 5)","(512, 295, 29, 5)",0.4238,6681471.5,2585390.25,1639515.75,BSpline,0.01,4.637,69.5,0.0,0.001
DCE_0270.nii.gz,True,"(512, 512, 29, 5)","(512, 295, 29, 5)",0.4238,6681471.5,2585390.25,1639515.75,BSpline,0.05,17.957,17.9,0.0,0.0
DCE_0270.nii.gz,True,"(512, 512, 29, 5)","(512, 295, 29, 5)",0.4238,6681471.5,2585390.25,1639515.75,BSpline,0.1,34.68,9.3,0.0,0.0
DCE_05070.nii.gz,True,"(256, 256, 56, 5)","(214, 256, 56, 5)",0.1641,28.0,8.0,6.0,Rigid,0.01,1.706,14.0,0.23,0.01
DCE_05070.nii.gz,True,"(256, 256, 56, 5)","(214, 256, 56, 5)",0.1641,28.0,8.0,6.0,Rigid,0.05,3.903,6.1,0.23,0.013
DCE_05070.nii.gz,True,"(256, 256, 56, 5)","(214, 256, 56, 5)",0.1641,28.0,8.0,6.0,Rigid,0.1,6.17,3.9,0.23,0.017
DCE_05070.nii.gz,True,"(256, 256, 56, 5)","(214, 256, 56, 5)",0.1641,28.0,8.0,6.0,BSpline,0.01,6.32,37.2,0.01,0.001
DCE_05070.nii.gz,True,"(256, 256, 56, 5)","(214, 256, 56, 5)",0.1641,28.0,8.0,6.0,BSpline,0.05,26.763,8.8,0.01,0.0
DCE_05070.nii.gz,True,"(256, 256, 56, 5)","(214, 256, 56, 5)",0.1641,28.0,8.0,6.0,BSpline,0.1,51.595,4.6,0.01,0.0
